ticker,previousClose,regularMarketOpen,bid,ask,dayLow,dayHigh,52WeekLow,52WeekHigh,volume,averageVolume,marketCap,beta,trailingPE,forwardPE,dividendYield,exDividendDate,payoutRatio,trailingAnnualDividendRate,trailingAnnualDividendYield,fiveYearAvgDividendYield,dividendRate,annualDividendRate,dividendYield,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,averageDailyVolume10Day,averageDailyVolume3Month,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,earningsTimestamp,earningsTimestampStart,earningsTimestampEnd,trailingAnnualEps,epsTrailingTwelveMonths,epsForward,sharesOutstanding,floatShares,sharesShort,sharesShortPriorMonth,shortRatio,shortPercentOutstanding,shortPercentFloat,percentInsiders,percentInstitutions,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,lastDividendValue,lastCapGain,annualHoldingsTurnover,enterpriseValue,priceToSalesTrailing12Months,priceToBook,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,beta,enterpriseValue,priceHint,trailingAnnualDividendRate,trailingAnnualDividendYield,fiveYearAvgDividendYield,dividendRate,annualDividendRate,dividendYield,financialCurrency
GCMG,10.06,10.1,10.02,10.06,9.9977,10.115,,,78367.0,174514.0,1878144000.0,0.511,24.275362,11.964286,0.0438,1717372800.0,4.2,0.44,0.04373757,,0.44,,0.0438,9.568,8.6341,0.44,0.04373757,121450.0,,,,,,,6.56,10.2,,,,,,,186880000.0,43053067.0,2454497.0,2299618.0,14.35,,,,,0.84,1.33,,,1.676,-61.751,,,,,,757370304.0,4.1558204,,1711843200.0,16128000.0,0.414,0.84,0.511,757370304.0,2.0,0.44,0.04373757,,0.44,,0.0438,USD
GCMGW,0.57,0.55,,,0.55,0.58,,,2233.0,,,0.511,,,,,,,,,,,,,,,,,,,,,,,0.55,0.58,,,,,,,,43053067.0,,,,,,,,,,,,,,,,,,,,,,,16128000.0,,,0.511,,4.0,,,,,,,USD
GCT,30.27,31.0,31.11,31.2,30.24,31.4592,,,1437723.0,3137941.0,1276431744.0,,12.116732,8.109375,,,,,,,,,,33.5757,21.62095,,,3320870.0,,,,,,,6.6,45.18,,,,,,,32913400.0,24121453.0,3634373.0,2548140.0,1.29,,,,,3.84,,,,1.876,11.506,,,,,,1551653120.0,1.5432413,3.9979458,1711843200.0,105362000.0,2.57,3.84,,1551653120.0,2.0,,,,,,,USD
GCTK,2.05,2.01,,,2.01,2.8999,,,119763.0,41390.0,12710352.0,,,,,,,,,,,,,2.47174,1.53356,,,33502.0,,,,,,,0.665,4.95,,,,,,,5478600.0,2882892.0,1581.0,21231.0,0.03,,,,,,,,,,-1.278,,,,,,11189956.0,,33.142857,1711843200.0,-9593000.0,-2.1,,,11189956.0,4.0,,,,,,,USD
GDC,0.881,0.85,0.95,1.11,0.85,0.98,,,127242.0,199153.0,7695081.0,1.058,,,,,,,,,,,,0.84632,2.189375,,,145060.0,,,,,,,0.585,5.34,,,,,,,7941260.0,7797416.0,52318.0,271290.0,0.17,,,,,,,,,,-0.595,,,,,,7137404.0,,0.63291967,1703980800.0,-10389207.0,-3.78,,1.058,7137404.0,4.0,,,,,,,USD
GDEN,29.24,29.29,30.17,30.33,28.83,30.44,,,570288.0,239380.0,876277184.0,2.266,3.2548387,20.591837,0.033,1718323200.0,0.0269,0.25,0.008549931,,1.0,,0.033,32.9004,35.48425,0.25,0.008549931,423740.0,,,,,,,28.2,47.5,,,,,,,28948700.0,21432490.0,513652.0,576886.0,2.09,,,,,1.47,0.89,1:2,1410307200.0,1.299,7.114,,,,,,1232706432.0,0.9232279,1.5383443,1711843200.0,286088992.0,9.3,1.47,2.266,1232706432.0,2.0,0.25,0.008549931,,1.0,,0.033,USD
GDEV,2.11,2.21,1.75,2.52,2.03,2.33,,,48674.0,3604.0,384760992.0,0.801,9.23913,,,,,,,,,,,2.2182,2.63355,,,11150.0,,,,,,,1.9,7.4,,,,,,,181064000.0,21783779.0,46226.0,48819.0,24.47,,,,,,,,,0.491,5.28,,,,,,227917456.0,0.8282463,,1703980800.0,46115000.0,0.23,,0.801,227917456.0,4.0,,,,,,,USD
GDEVW,0.07,0.065,0.0438,0.0798,0.065,0.065,,,1000.0,,,0.801,0.0019461076,,,,,,,,,,,,,,,,,,,,,,0.065,0.065,,,,,,,,21783779.0,,,,,,,,,,,,,,,,,,,,,,,46115000.0,33.4,,0.801,,4.0,,,,,,,USD
GDHG,0.2369,0.244,0.22,,0.2357,0.2449,,,602588.0,2430853.0,12476925.0,,1.8546154,,,,,,,,,,,0.30862,4.789135,,,2488020.0,,,,,,,0.203,24.99,,,,,,,41750000.0,1729485.0,632164.0,577801.0,0.21,,,,,,,,,0.583,1.314,,,,,,18521500.0,0.39251903,0.20432204,1696032000.0,6549584.0,0.13,,,18521500.0,4.0,,,,,,,USD
GDRX,7.56,7.54,7.87,7.9,7.5,7.9,,,1120030.0,1323674.0,2952863232.0,1.377,,17.48889,,,,,,,,,,7.028,6.3199,,,1328620.0,,,,,,,4.135,9.37,,,,,,,94335800.0,79262080.0,7450768.0,8800356.0,5.88,,,,,0.45,0.7,,,4.096,40.608,,,,,,3129746176.0,3.8642,4.6761737,1711843200.0,-6587000.0,-0.01,0.45,1.377,3129746176.0,2.0,,,,,,,USD
GDS,8.08,7.92,7.97,8.03,7.8825,8.19,,,1192810.0,1742201.0,1473659008.0,0.301,,-9.54762,,,,,,,,,,7.6713,8.7194,,,1593770.0,,,,,,,5.01,14.24,,,,,,,183748000.0,937128235.0,9451445.0,10457892.0,7.0,,,,,-0.84,-104.16,,,5.41,13.257,,,,,,55041622016.0,0.14483263,0.07940516,1711843200.0,-4213725952.0,-3.22,-0.84,0.301,55041622016.0,2.0,,,,,,,CNY
GDST,11.13,11.13,,,11.08,11.15,,,4912.0,9823.0,76103712.0,0.017,61.833332,,,,,,,,,,,11.06568,10.854995,,,52230.0,,,,,,,9.63,12.45,,,,,,,6837710.0,4711046.0,1192.0,627.0,0.47,,,,,,,,,,,,,,,,77565608.0,,,1703980800.0,1115400.0,0.18,,0.017,77565608.0,2.0,,,,,,,USD
GDSTR,0.1036,0.18,,,0.18,0.18,,,100.0,,,0.017,,,,,,,,,,,,,,,,,,,,,,,0.18,0.18,,,,,,,,4711046.0,,,,,,,,,,,,,,,,,,,,,,,1115400.0,-0.014,,0.017,,4.0,,,,,,,USD
GDSTU,10.95,,,,11.09,11.09,,,,35.0,,0.017,,,,,,,,,,,,11.0828,10.87775,,,,,,,,,,10.6,11.31,,,,,,,,4711046.0,,,,,,,,,,,,,,,,,,,77292096.0,,,1703980800.0,1115400.0,-0.014,,0.017,77292096.0,2.0,,,,,,,USD
GDSTW,0.0403,0.04,,,0.04,0.04,,,60500.0,,,0.017,,,,,,,,,,,,,,,,,,,,,,,0.04,0.04,,,,,,,,4711046.0,,,,,,,,,,,,,,,,,,,,,5.7142854,,1115400.0,-0.014,,0.017,,4.0,,,,,,,USD
GDTC,2.01,2.169,,,1.98,2.169,,,3103.0,6593.0,24926400.0,,,-10.8,,,,,,,,,,2.11382,3.112015,,,2240.0,,,,,,,1.92,9.25,,,,,,,11540000.0,3546127.0,38468.0,39352.0,5.68,,,,,-0.2,,,,32.258,-4.728,,,,,,16378399.0,49.09323,2.2153847,1703980800.0,-4132896.0,-0.29,-0.2,,16378399.0,4.0,,,,,,,SGD
GDYN,9.6,9.55,9.45,9.51,9.19,9.705,,,573430.0,333922.0,726951424.0,0.969,237.5,23.170732,,,,,,,,,,10.751,12.0,,,338850.0,,,,,,,8.53,14.7,,,,,,,76521200.0,56342546.0,3172550.0,2893575.0,7.98,,,,,0.41,,,,1.561,51.872,,,,,,488171232.0,2.3251507,1.8988608,1711843200.0,2257000.0,0.04,0.41,0.969,488171232.0,2.0,,,,,,,USD
GECC,10.26,10.275,10.2,10.32,10.22,10.4,,,11442.0,17511.0,96603328.0,1.53,4.6244345,6.5512824,0.137,1718323200.0,0.6335,1.4,0.13645224,19.08,1.4,,0.137,10.36028,10.213905,1.4,0.13645224,15870.0,,,,,,,7.51,11.82,,,,,,,9452380.0,,11711.0,8149.0,0.92,,,,,1.56,,1:6,1646006400.0,6.655,,,,,,,241738352.0,2.6594903,0.81317633,1711843200.0,16715000.0,2.21,1.56,1.53,241738352.0,2.0,1.4,0.13645224,19.08,1.4,,0.137,USD
GECCI,25.15,25.0501,25.01,25.1,25.05,25.1,,,4128.0,11320.0,,,,,,,,,,,,,,24.932467,24.932467,,,5110.0,,,,,,,24.57,25.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,
GECCM,25.15,25.2499,,,25.2499,25.25,,,548.0,1955.0,,,,,,,,,,,,,,25.09576,25.05616,,,1300.0,,,,,,,24.41,26.519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,
GECCO,24.75,24.4125,,,24.4125,24.69,,,2.0,1407.0,,,,,,,,,,,,,,24.46454,24.362585,,,970.0,,,,,,,23.0,25.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,
GECCZ,25.45,25.48,,,25.48,25.48,,,612.0,,,,,,,,,,,,,,,,,,,,,,,,,,25.48,25.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,
GEG,1.75,1.78,,,1.75,1.8,,,9789.0,31644.0,55781776.0,1.107,,1.1824324,,1181692800.0,,,,,,,,1.8684,1.94175,,,84940.0,,,,,,,1.59,2.24,,,,,,,31875300.0,12397462.0,3112.0,9280.0,0.09,,,,,1.48,0.06,200:1,1387497600.0,0.298,-0.418,,,,,,3557248.0,4.671058,0.812065,1711843200.0,-5948000.0,-0.21,1.48,1.107,3557248.0,4.0,,,,,,,USD
GEGGL,22.53,22.975,,,22.3,22.975,,,6443.0,1952.0,,,,,,,,,,,,,,22.3339,21.83498,,,2360.0,,,,,,,19.75,24.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,
GEHC,78.57,78.73,77.94,83.62,76.91,78.73,,,7001142.0,3038960.0,35604271104.0,,22.674417,16.386555,0.0015,1713398400.0,0.0349,0.12,0.0015273005,,0.12,,0.0015,84.127,76.57225,0.12,0.0015273005,2282740.0,,,,,,,62.35,94.5,,,,,,,456464992.0,425151845.0,10364018.0,10954556.0,3.56,,,,,4.76,1.6,,,2.201,12.194,,,,,,42912296960.0,1.8263284,4.804731,1711843200.0,1574000000.0,3.44,4.76,,42912296960.0,2.0,0.12,0.0015273005,,0.12,,0.0015,USD
GEN,24.58,24.698,23.56,24.84,24.425,24.905,,,16882461.0,4551741.0,15547204608.0,1.106,25.864584,10.052631,0.0201,1715904000.0,0.5208,0.5,0.02034174,2.13,0.5,,0.0201,22.1706,21.01975,0.5,0.02034174,6940620.0,,,,,,,16.38,25.47,,,,,,,626145984.0,568546736.0,19954793.0,17040644.0,4.12,,,,,2.47,1.0,,,6.127,13.144,,,,,,23356203008.0,4.0784903,7.041974,1711670400.0,616000000.0,0.96,2.47,1.106,23356203008.0,2.0,0.5,0.02034174,2.13,0.5,,0.0201,USD
GENE,1.94,1.94,,,1.91,2.13,,,86235.0,50265.0,6435000.0,0.416,,,,,,,,,,,,2.5034,2.9227,,,150150.0,,,,,,,1.67,5.15,,,,,,,3219090.0,18395201.0,25483.0,15665.0,0.8,,,,,,,1:4,1565827200.0,21.984,-22.844,,,,,,225179264.0,0.6282299,47.142857,1703980800.0,-12709889.0,-0.15,,0.416,225179264.0,4.0,,,,,,,AUD
GENK,11.28,11.4,10.99,11.33,11.01,11.64,,,27687.0,97779.0,360599776.0,,10.500001,85.61539,,,,,,,,,,10.6658,9.81428,,,50980.0,,,,,,,5.61,20.5,,,,,,,4511960.0,3281502.0,124773.0,160409.0,2.53,,,,,0.13,,,,1.075,19.521,,,,,,202057088.0,1.9190537,5.664122,1711843200.0,-3314000.0,1.06,0.13,,202057088.0,2.0,,,,,,,USD
GEOS,9.93,10.18,9.79,9.88,9.76,10.18,,,52196.0,72520.0,131750304.0,0.799,8.285713,24.65,,,,,,,,,,12.1278,12.33145,,,89310.0,,,,,,,6.6,17.09,,,,,,,13362100.0,12371157.0,220710.0,223105.0,2.76,,,,,0.4,,2:1,1350604800.0,0.596,2.624,,,,,,81194208.0,0.9663931,0.92651755,1711843200.0,16018000.0,1.19,0.4,0.799,81194208.0,2.0,,,,,,,USD
GERN,3.47,3.5,3.53,3.56,3.5,3.66,,,10685258.0,12765731.0,2105622144.0,0.547,,-20.882353,,,,,,,,,,3.5924,2.46565,,,7652920.0,,,,,,,1.64,4.3,,,,,,,593132992.0,515432177.0,53888364.0,49415249.0,5.8,,,,,-0.17,-1.98,1058:1000,1405987200.0,3363.655,-8.348,,,,,,1749100544.0,4049.2734,6.089194,1711843200.0,-201395008.0,-0.34,-0.17,0.547,1749100544.0,4.0,,,,,,,USD
GEVO,0.7093,0.7099,0.6803,0.6869,0.68,0.7319,,,5821506.0,5234690.0,161512496.0,2.884,,-2.1365626,,,,,,,,,,0.6902,0.98915,,,2657650.0,,,,,,,0.57,1.86,,,,,,,236232992.0,217375563.0,32226434.0,30806613.0,7.15,,,,,-0.32,-0.09,1:20,1528070400.0,-2.539,0.667,,,,,,-43492000.0,9.428634,0.29406452,1711843200.0,-67472000.0,-0.29,-0.32,2.884,-43492000.0,4.0,,,,,,,USD
GFAI,2.73,2.76,2.63,2.69,2.6,2.795,,,183800.0,286190.0,25949300.0,2.851,,,,,,,,,,,,3.1262,3.4762,,,102010.0,,,,,,,2.04,9.9,,,,,,,9829280.0,8073444.0,478771.0,680353.0,3.06,,,,,,,,,0.343,-0.762,,,,,,12460143.0,0.7152409,1.028438,1703980800.0,-29605800.0,-4.53,,2.851,12460143.0,4.0,,,,,,,USD
GFAIW,0.23,0.2299,,,0.2299,0.2299,,,138.0,,,2.851,,,,,,,,,,,,,,,,,,,,,,,0.2299,0.2299,,,,,,,,8073444.0,,,,,,,,,,,,,,,,,,,,,,,-29605800.0,-0.181,,2.851,,4.0,,,,,,,USD
GFGF,27.6829,27.7486,27.63,27.92,27.7486,27.7486,,,368.0,3080.0,,,31.96847,,,,,,,,,,,27.18066,24.759325,,,430.0,,,,,,,20.62,28.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,
GFS,49.23,49.4,48.96,49.04,48.103,49.5,,,1786866.0,1591901.0,27026636800.0,1.611,30.434782,23.90244,,,,,,,,,,50.4428,54.238926,,,2755500.0,,,,,,,45.52,68.57,,,,,,,551564032.0,85915473.0,11532088.0,13338477.0,7.74,,,,,2.05,3.66,,,3.804,10.855,,,,,,27007324160.0,3.8065684,2.4191558,1711843200.0,899000000.0,1.61,2.05,1.611,27007324160.0,2.0,,,,,,,USD
GGAL,36.88,37.2,35.79,35.94,34.91,37.24,,,1380379.0,1039201.0,6610811392.0,1.824,14.003906,5.4649386,0.0178,1695340800.0,0.079,,,0.95,0.59,,0.0178,31.0466,20.3192,,,1205130.0,,,,,,,10.57,37.83,,,,,,,147468992.0,820592414.0,3043512.0,3816592.0,2.96,,,,,6.56,-0.07,,,-0.346,,,,,,,-1137681629184.0,0.0020126866,0.026199725,1703980800.0,336243916800.0,2.56,6.56,1.824,-1137681629184.0,2.0,,,0.95,0.59,,0.0178,ARS
GGLL,42.85,42.54,42.91,43.08,41.48,43.2,,,166521.0,217044.0,,,39.889763,,,,,,,,,,,39.1692,33.18355,,,148800.0,,,,,,,25.26,46.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,
GGLS,13.86,13.87,13.79,13.88,13.82,14.065,,,59542.0,45139.0,,,,,,,,,,,,,,14.70662,16.97024,,,16730.0,,,,,,,13.35,21.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,
GGR,1.46,1.48,1.44,1.48,1.445,1.48,,,96278.0,224131.0,358866560.0,0.689,,-6.952381,,,,,,,,,,1.596,2.205075,,,112250.0,,,,,,,1.21,3.55,,,,,,,245799008.0,146005628.0,2344960.0,2027202.0,13.58,,,,,-0.21,,,,1.868,-209.179,,,,,,635487296.0,1.0547515,1.4943706,1711843200.0,-48545000.0,-0.21,-0.21,0.689,635487296.0,4.0,,,,,,,USD
GGROW,0.07,0.0602,,,0.0506,0.07,,,1.0,,,0.689,,,,,,,,,,,,,,,,,,,,,,,0.0506,0.07,,,,,,,,146005628.0,,,,,,,,,,,,,,,,,,,,,,,-48545000.0,,,0.689,,4.0,,,,,,,USD
GH,27.47,27.51,27.05,27.14,26.95,27.89,,,3212849.0,2234619.0,3316199936.0,0.921,,-9.854546,,,,,,,,,,20.212,24.60995,,,2831150.0,,,,,,,15.81,41.06,,,,,,,122369000.0,109823922.0,10759821.0,9556452.0,5.23,,,,,-2.75,-0.3,,,6.02,-9.05,,,,,,3634653696.0,5.492898,48.3066,1711843200.0,-460900992.0,-3.92,-2.75,0.921,3634653696.0,2.0,,,,,,,USD
GHIX,10.58,10.55,10.55,,10.55,10.55,,,4687.0,949.0,202085248.0,,,,,,,,,,,,,10.5724,10.496785,,,510.0,,,,,,,10.19,11.096,,,,,,,6029980.0,4493566.0,950.0,342.0,1.11,,,,,,,,,,,,,,,,202061264.0,,,1711843200.0,-14823486.0,-0.34,,,202061264.0,2.0,,,,,,,USD
GHIXU,11.0,,,,11.25,11.25,,,,49.0,,,,,,,,,,,,,,10.91128,10.784385,,,,,,,,,,10.2,12.75,,,,,,,,4493566.0,,2194.0,,,,,,,,,,,,,,,,,215469744.0,,,1711843200.0,-14823486.0,,,,215469744.0,2.0,,,,,,,USD
GHIXW,0.15,0.1269,,,0.0901,0.1269,,,207519.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0901,0.1269,,,,,,,,4493566.0,,,,,,,,,,,,,,,,,,,,,,,-14823486.0,,,,,4.0,,,,,,,USD
GHRS,13.53,13.8869,13.94,14.27,13.8869,14.525,,,53752.0,92025.0,733075968.0,0.8,,-11.940679,,,,,,,,,,11.7476,8.927175,,,48900.0,,,,,,,5.05,14.64,,,,,,,52028100.0,7490492.0,1336110.0,1445913.0,20.24,,,,,-1.18,,,,,-13.714,,,,,,576115584.0,,3.4954104,1711843200.0,-32316000.0,-0.62,-1.18,0.8,576115584.0,2.0,,,,,,,USD
GHSI,9.25,9.25,,,9.25,9.6,,,6715.0,12685.0,12238044.0,0.903,,-9.343137,,,,,,,,,,8.48904,7.235025,,,13480.0,,,,,,,5.01,10.75,,,,,,,1284160.0,1047756.0,145895.0,148229.0,39.04,,,,,-1.02,,1:6,1614556800.0,0.55,-1.86,,,,,,6632971.0,1.0145524,3.5840542,1711843200.0,-5121802.0,-4.01,-1.02,0.903,6632971.0,2.0,,,,,,,USD
GIFI,6.96,6.92,6.73,6.84,6.4001,6.98,,,54229.0,114304.0,110069704.0,0.489,,338.00003,,1510185600.0,,,,1.73,,,,6.9162,4.9013,,,60350.0,,,,,,,2.95,7.93,,,,,,,16282500.0,13119641.0,82576.0,85399.0,0.97,,,,,0.02,0.28,2:1,878083200.0,0.537,-3.359,,,,,,70807840.0,0.8352535,1.2815166,1711843200.0,-18803000.0,-1.18,0.02,0.489,70807840.0,2.0,,,1.73,,,,USD
GIGM,1.32,1.31,,,1.31,1.3629,,,3010.0,8477.0,14588905.0,0.41,,,,1017619200.0,,,,,,,,1.3286,1.36525,,,5290.0,,,,,,,1.23,1.56,,,,,,,11052200.0,6203930.0,3669.0,4816.0,0.44,,,,,,,1:5,1450224000.0,-5.833,6.134,,,,,,-21534360.0,3.951491,0.3407331,1711843200.0,-3988000.0,-0.36,,0.41,-21534360.0,4.0,,,,,,,USD
GIII,29.35,29.25,30.01,30.11,28.951,30.14,,,563014.0,574119.0,1351656832.0,2.391,8.016,8.467606,,,,,,,,,,28.189,27.94655,,,474260.0,,,,,,,16.23,35.68,,,,,,,44965300.0,39955434.0,4235904.0,4782270.0,11.33,,,,,3.55,-0.86,2:1,1430697600.0,0.487,4.747,,,,,,1507804672.0,0.43626574,0.88667333,1706659200.0,176168000.0,3.75,3.55,2.391,1507804672.0,2.0,,,,,,,USD
GILD,64.08,62.6918,64.23,64.29,62.07,64.3,,,14097556.0,7041752.0,80070770688.0,0.235,178.52776,9.0014,0.0479,1718323200.0,8.3889,3.02,0.047128588,4.01,3.08,,0.0479,67.6886,74.88445,3.02,0.047128588,6465870.0,,,,,,,62.07,87.87,,,,,,,1245849984.0,1243212000.0,21700643.0,21182130.0,2.92,,,,,7.14,3.07,2:1,1359331200.0,3.63,7.869,,,,,,99656982528.0,2.916968,4.5659275,1711843200.0,485000000.0,0.36,7.14,0.235,99656982528.0,2.0,3.02,0.047128588,4.01,3.08,,0.0479,USD
GILT,5.505,5.53,5.51,5.54,5.42,5.54,,,58481.0,159184.0,314728864.0,0.586,13.8,15.771429,,1610064000.0,,,,,,,,5.4658,6.0306,,,86790.0,,,,,,,4.95,7.16,,,,,,,57016100.0,55998269.0,177124.0,58053.0,1.07,,,,,0.35,1.83,1:20,1050451200.0,0.786,5.538,,,,,,222542544.0,1.1113071,1.1208122,1711843200.0,22888000.0,0.4,0.35,0.586,222542544.0,2.0,,,,,,,USD
GINX,25.7111,25.68,,,25.6354,25.9143,,,9275.0,40747.0,,,,,,,,,,,,,,25.66658,25.628784,,,9720.0,,,,,,,24.22,26.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,
GIPR,4.33,4.34,4.42,4.5,4.34,4.4779,,,11023.0,29579.0,24182834.0,,,-1.238889,0.104899995,1715644800.0,,0.468,0.108083144,,0.47,,0.104899995,3.96884,3.877815,0.468,0.108083144,17930.0,,,,,,,2.9,4.64,,,,,,,5422160.0,4430985.0,31166.0,37815.0,0.89,,,,,-3.6,,1:4,1602460800.0,12.704,32.702,,,,,,110893344.0,2.7704859,2.032817,1711843200.0,-7794915.0,-2.61,-3.6,,110893344.0,4.0,0.468,0.108083144,,0.47,,0.104899995,USD
GIPRW,0.5,0.476,,,0.4444,0.59,,,3961.0,,,,,,,,,0.65,1.3,,,,,,,0.65,1.3,,,,,,,,0.4444,0.59,,,,,,,,4430985.0,,,,,,,,,,,,,,,,,,,,,0.529661,,-7794915.0,-3.399,,,,4.0,0.65,1.3,,,,,USD
GLAC,10.26,10.26,,,10.26,10.29,,,371440.0,21717.0,92218120.0,,,,,,,,,,,,,10.22784,10.174492,,,39950.0,,,,,,,10.04,10.325,,,,,,,8975000.0,6750008.0,21029.0,7346.0,0.63,,,,,,,,,,,,,,,,92216928.0,,,1711843200.0,741915.0,,,,92216928.0,2.0,,,,,,,USD
GLACR,0.201,0.23,,,0.1701,0.23,,,900.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.1701,0.23,,,,,,,,6750008.0,,,,,,,,,,,,,,,,,,,,,,,741915.0,,,,,4.0,,,,,,,USD
GLACU,10.35,,,,10.35,10.35,,,,93.0,,,,,,,,,,,,,,10.3828,10.321745,,,60.0,,,,,,,10.14,10.5,,,,,,,,6750008.0,,,,,,,,,,,,,,,,,,,92890048.0,,,1711843200.0,741915.0,,,,92890048.0,2.0,,,,,,,USD
GLAD,22.33,22.48,22.36,22.44,22.28,22.53,,,94743.0,139534.0,487300800.0,,5.185185,10.717704,0.0884,1718668800.0,0.45490003,1.845,0.08262427,8.69,1.98,,0.0884,21.3436,20.6085,1.845,0.08262427,92420.0,,,,,,,18.4,22.56,,,,,,,21754500.0,,369855.0,309434.0,2.84,,,,,2.09,2.12,,,9.109,,,,,,,854407168.0,5.1952705,2.2623978,1711843200.0,68617000.0,4.32,2.09,,854407168.0,2.0,1.845,0.08262427,8.69,1.98,,0.0884,USD
GLADZ,25.2,25.16,,,25.16,25.22,,,4665.0,7901.0,,,,,,,,,,,,,,25.32226,25.129913,,,4630.0,,,,,,,24.45,25.525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,
GLBE,31.83,32.13,31.16,31.25,30.75,32.46,,,1191402.0,1303655.0,5213490176.0,1.126,,-312.19998,,,,,,,,,,32.9508,35.982723,,,2014140.0,,,,,,,27.301,45.72,,,,,,,166992000.0,98949654.0,8734926.0,9317529.0,7.93,,,,,-0.1,-2.64,,,8.213,83.85,,,,,,4912881152.0,8.71547,5.849728,1711843200.0,-122773000.0,-0.74,-0.1,1.126,4912881152.0,2.0,,,,,,,USD
GLBS,2.29,2.26,2.3,2.37,2.21,2.3499,,,80901.0,50844.0,47956756.0,0.195,8.961538,-14.5625,,1337731200.0,,,,,,,,2.078,1.99405,,,56850.0,,,,,,,0.68,3.15,,,,,,,20582300.0,8817046.0,995236.0,1094828.0,25.14,,,,,-0.16,,1:100,1603238400.0,0.84,10.787,,,,,,26201762.0,1.5368292,0.2725146,1703980800.0,5272000.0,0.26,-0.16,0.195,26201762.0,4.0,,,,,,,USD
GLBZ,4.25,4.256,,,4.06,4.3795,,,13641.0,5860.0,12442696.0,0.651,12.285715,,0.0916,1713484800.0,1.1395,0.4,0.09411765,4.45,0.4,,0.0916,5.0814,5.9917,0.4,0.09411765,13630.0,,,,,,,3.74,8.5,,,,,,,2893650.0,2309771.0,2443.0,6524.0,0.45,,,,,,,120:100,1199923200.0,0.795,,,,,,,9788108.0,1.011108,0.6848225,1711843200.0,997000.0,0.35,,0.651,9788108.0,4.0,0.4,0.09411765,4.45,0.4,,0.0916,USD
GLDD,9.17,9.22,9.11,9.19,9.06,9.39,,,429019.0,396630.0,613135040.0,1.004,16.052631,11.296296,,1355875200.0,,,,1.12,,,,8.3428,7.9527,,,401580.0,,,,,,,6.12,9.78,,,,,,,67009300.0,65480836.0,1310610.0,1366581.0,2.91,,,,,0.81,-0.97,,,1.678,11.316,,,,,,1057363264.0,0.972858,1.4975449,1711843200.0,38161000.0,0.57,0.81,1.004,1057363264.0,2.0,,,1.12,,,,USD
GLDI,148.85,148.9759,147.73,148.38,148.11,148.9759,,,1596.0,2290.0,,,,,,,,,,,,,,149.9932,143.4451,,,1850.0,,,,,,,131.47,153.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,
GLLI,11.18,11.27,,,11.2,11.2,,,3.0,5368.0,67284784.0,0.002,373.33334,,,,,,,,,,,11.0854,10.889615,,,970.0,,,,,,,10.35,12.1,,,,,,,6007570.0,1149800.0,122.0,144.0,0.03,,,,,,,,,,,,,,,,30018182.0,,1120.0,1703980800.0,1320324.0,0.03,,0.002,30018182.0,2.0,,,,,,,USD
GLLIR,0.1192,,,,0.085,0.085,,,,,,0.002,,,,,,,,,,,,,,,,,,,,,,,0.085,0.085,,,,,,,,1149800.0,,,,,,,,,,,,,,,,,,,,,8.5,,1320324.0,,,0.002,,4.0,,,,,,,USD
GLLIU,11.4,12.52,,,12.52,13.77,,,466.0,203.0,,0.002,,,,,,,,,,,,12.1216,11.15235,,,630.0,,,,,,,10.55,15.49,,,,,,,,1149800.0,607.0,607.0,4.8,,,,,,,,,,,,,,,,34568184.0,,1377.0001,1703980800.0,1320324.0,,,0.002,34568184.0,2.0,,,,,,,USD
GLLIW,0.03,0.0292,,,0.0292,0.0292,,,15.0,,,0.002,,,,,,,,,,,,,,,,,,,,,,,0.0292,0.0292,,,,,,,,1149800.0,,,,,,,,,,,,,,,,,,,,,2.92,,1320324.0,,,0.002,,4.0,,,,,,,USD
